"source_mod","source_file","id","name","tier","piece_type","culture","mesh","weight","length","BladeData.blade_length","BladeData.blade_width","BladeData.stack_amount","BladeData.Swing.damage_type","BladeData.Swing.damage_factor","BladeData.Thrust.damage_type","BladeData.Thrust.damage_factor","BuildData.piece_offset","BuildData.next_piece_offset","CraftingCost","is_default","is_hidden","BladeData.body_name","BladeData.holster_body_name","BladeData.holster_mesh","BladeData.holster_mesh_length","BladeData.physics_material","BuildData.previous_piece_offset","distance_to_next_piece","distance_to_previous_piece","excluded_item_usage_features","Flags.Flag.name","Flags.Flag.type","full_scale","item_holster_pos_shift"
"RBM","RBMCombat_axe_pieces.xml","axe_craft_21_head","{=NS83CCvb}Common Iron Axe Head","3","Blade","","axe_craft_21_head","0.371","","9.382","18.004","3","Cut","0.9","","","-10","","","","","bo_axe_longer_b","","","","metal_weapon","","2.66","6.64","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_30_head","{=IZw8FnwW}Large Ascia Head","2","Blade","","axe_craft_30_head","0.394","","8.442","19.527","3","Cut","0.7","","","-11","","","","","bo_axe_longer_b","","","","metal_weapon","","5.04","6.14","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_30_head_blunt","{=M9ACQeD6}Large Blunt Ascia Head","2","Blade","","axe_craft_30_head","0.394","","8.442","19.527","3","Cut","0.7","","","-11","","","","true","bo_axe_longer_b","","","","metal_weapon","","5.04","6.14","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_18_head","{=4Ilo91CO}Western Battle Axe Head","4","Blade","","axe_craft_18_head","0.50","","11.4","17.4","3","Cut","1.1","","","-12","","","","","bo_axe_longer_b","","","","metal_weapon","","1.97","8.21","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_2_head","{=VccYBtB0}Northern Hatchet Head","2","Blade","","axe_craft_2_head","0.40","","12.2","24.433","3","Cut","0.7","","","-14","","","","","bo_axe_longer_a","","","","metal_weapon","","4.1","8.68","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_23_head","{=kNhcSC6i}Northern Bearded Head","4","Blade","","axe_craft_23_head","0.60","","24.97","20.661","3","Cut","1.1","","","-28","","","","","bo_axe_longer_b","","","","metal_weapon","","3.16","22.1","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_9_head","{=8S6ZYPFD}Round Bitted Fine Steel Hatchet Head","5","Blade","","axe_craft_9_head","0.383","","11.538","26.876","3","Cut","1.3","","","-12","","","","","bo_axe_longer_b","","","","metal_weapon","","4.63","7.24","","Civilian","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_8_head","{=WkTkxQfw}Rectangular Bit Blade","5","Blade","","axe_craft_8_head","0.651","","22.332","23.205","3","Cut","1.2","","","-16","","","","","bo_axe_longer_b","","","","metal_weapon","","11.1","11.6","","Civilian","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_24_head","{=fOrRdtNK}Small Spurred Axe Head","2","Blade","","axe_craft_24_head","0.40","","9.46","21.987","3","Cut","0.7","","","-11","","","","","bo_axe_longer_b","","","","metal_weapon","","2.64","7.05","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_29_head","{=iFhr5nGq}Imperial Axe Head","3","Blade","","axe_craft_29_head","0.40","","9.105","23.082","3","Cut","0.9","","","-15","","","","","bo_axe_longer_b","","","","metal_weapon","","6.59","6.57","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_28_head","{=ajVcY9v6}Small Hammer Axe Head","3","Blade","","axe_craft_28_head","0.40","","12.961","19.393","3","Cut","0.9","","","-16","","","","","bo_axe_longer_b","","","","metal_weapon","","3.54","10.7","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_12_head","{=cK6D7cyn}Large Franziska Head","3","Blade","","axe_craft_12_head","0.347","","11.622","23.945","3","Cut","0.9","","","-10.5","","","","","bo_axe_longer_b","","","","metal_weapon","","5.04","6.51","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_19_head","{=ZxZ7AJ1r}Southern Battle Axe Blade","4","Blade","","axe_craft_19_head","0.45","","22.539","16.706","3","Cut","1.1","","","-20","","","","","bo_axe_longer_b","","","","metal_weapon","","11.2","11.8","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_33_head","{=SR7a3qlO}Round Bit Battle Axe Head","2","Blade","","axe_craft_33_head","0.366","","12.564","15.1","3","Cut","0.7","","","-16.5","","","","","bo_axe_longer_b","","","","metal_weapon","","7.37","11.3","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_15_head","{=LSrJljDL}Adze Head","1","Blade","","axe_craft_15_head","0.5","","4.552","25.764","3","Cut","0.6","","","-8","","","true","","bo_axe_longer_b","","","","metal_weapon","","2.96","2.96","","Civilian","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_7_head","{=USWfzbuW}Northern Broad Great Axe Head","4","Blade","","axe_craft_7_head","0.6","","28.366","28.192","3","Cut","1.1","","","-19","","","","","bo_axe_longer_b","","","","metal_weapon","","14.9","13.5","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_17_head","{=R62maL2H}Bill Head","4","Blade","","axe_craft_17_head","0.7","","33.887","22.47","3","Pierce","0.9","","","-30","","","","","bo_axe_longer_b","","","","metal_weapon","","21.3","23.7","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_6_head","{=tNtulHAv}Broad Large Norse Head","3","Blade","","axe_craft_6_head","0.5","","24.612","24.998","3","Cut","0.9","","","-14","","","","","bo_axe_longer_b","","","","metal_weapon","","18.6","6.66","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_16_head","{=0gteBOD7}Bardiche Head","4","Blade","","axe_craft_16_head","0.7","","57.435","23.337","3","Cut","1.0","","","-39","","","","true","bo_axe_longer_b","","","","metal_weapon","","29","31.1","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_38_head","{=SEsx3kZz}Heavy Bardiche Head","5","Blade","","axe_craft_16_head","0.8","","57.435","23.337","3","Cut","1.2","","","-39","","","","","bo_axe_longer_b","","","","metal_weapon","","29","31.1","","Civilian","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_1_head","{=NfPgejKk}Drilled Sparth Blade","5","Blade","","axe_craft_1_head","0.5","","16.651","26.744","3","Cut","1.3","","","-20","","","","","bo_axe_longer_b","","","","metal_weapon","","6.46","11.7","","Civilian","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_22_head","{=IxCaIvUk}Large Northern Broad Head With Decorated Neck","5","Blade","","axe_craft_22_head","0.6","","20.781","30.384","3","Cut","1.25","","","-16.5","","","","","bo_axe_longer_b","","","","metal_weapon","","9.82","11.6","","Civilian","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_14_head","{=ALO9gw69}Square Bit Two Handed Axe Head","2","Blade","","axe_craft_14_head","0.4","","13.923","21.94","3","Cut","0.7","","","-16","","","","","bo_axe_longer_b","","","","metal_weapon","","3.73","10.9","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_14_head_blunt","{=Wn4GjoXY}Square Bit Blunt Two Handed Axe Head","2","Blade","","axe_craft_14_head","0.4","","13.923","21.94","3","Cut","0.7","","","-16","","","","true","bo_axe_longer_b","","","","metal_weapon","","3.73","10.9","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_5_head","{=orwoyDlX}Great Sparth Axe Head","2","Blade","","axe_craft_5_head","0.5","","13.105","27.618","3","Cut","0.7","","","-15","","","","","bo_axe_longer_b","","","","metal_weapon","","4.09","10.1","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_3_head","{=gSdybwMN}Large Drilled Norse Bearded Head","4","Blade","","axe_craft_3_head","0.55","","23.005","22.407","3","Cut","1.1","","","-16","","","","","bo_axe_longer_b","","","","metal_weapon","","13.1","10.4","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_34_head","{=a0erBuF1}Hooked Axe Head","4","Blade","","axe_craft_34_head","0.5","","20.281","19.8","3","Cut","1.1","","","-23","","","","","bo_axe_longer_b","","","","metal_weapon","","8.84","14.5","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_4_head","{=fdR6zYiP}Franziska Head","4","Blade","","axe_craft_4_head","0.226","","10.566","19.257","2","Cut","1.1","","","-9","","","true","","bo_axe_longer_b","","throwing_axe_quiver_1","","metal_weapon","","3.94","4.72","","CanBePickedUpFromCorpse","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_13_head","{=hSSk6tTn}Throwing Axe Head","4","Blade","","axe_craft_13_head","0.240","","8.707","16.898","2","Cut","1.1","","","-10","","","","","bo_axe_longer_b","","throwing_axe_quiver_1","","metal_weapon","","1.77","7.07","","CanBePickedUpFromCorpse","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_31_head","{=sNJNDDKN}Small Axe Head","2","Blade","","axe_craft_31_head","0.293","","13.366","13.211","2","Cut","0.7","","","-14","","","","","bo_axe_longer_b","","throwing_axe_quiver_1","","metal_weapon","","6.77","6.77","","CanBePickedUpFromCorpse","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_13_head_blunt","{=yrdrYLA9}Blunt Throwing Axe Head","4","Blade","","axe_craft_13_head","0.381","","8.707","16.898","3","Cut","1.1","","","-10","","","","true","bo_axe_longer_b","","throwing_axe_quiver_1","","metal_weapon","","1.77","7.07","","CanBePickedUpFromCorpse","ItemFlags","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_5","{=baQ99nza}Long Ash Shaft","2","Handle","","spear_handle_5","0.595","229","","","","","","","","-11","","110","","","","","","","","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_6","{=RXjhTS9s}Long Wrapped Oak Shaft","2","Handle","","spear_handle_6","0.65","250","","","","","","","","-13","","120","","","","","","","","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_25","{=nGP3FlHm}Long Mahogany Shaft","3","Handle","","spear_handle_25","0.702","270","","","","","","","","-14","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_27","{=tSQbGb4m}Extra Long Mahogany Shaft","4","Handle","","spear_handle_27","0.754","290","","","","","","","","-15","","","true","","","","","","","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_3","{=71588OX7}Bamboo Shaft","2","Handle","","spear_handle_3","0.465","179","","","","","","","","-8","","100","","","","","","","","","","","long","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_4","{=LSOXMCAW}Pine Shaft","4","Handle","","spear_handle_4","0.494","190","","","","","","","","-9","","100","","","","","","","","","","","long","","","","0,0,0.10"
"RBM","RBMCombat_couched_lances.xml","spear_handle_18","{=ow1aK4DJ}Wrapped Oaken Long Shaft","3","Handle","","spear_handle_18","0.52","200","","","","","","","","-10","","","","","","","","","","","","","long","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_22","{=HaNPlFBt}Wrapped Hardwood Long Shaft","3","Handle","","spear_handle_22","0.624","240","","","","","","","","-12","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_21","{=7EZbFRaG}Reinforced Pine Shaft","3","Handle","","spear_handle_21","0.598","230","","","","","","","","-12","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_16","{=yD9v5GS0}Decorated Pine Shaft","4","Handle","","spear_handle_16","0.468","180","","","","","","","","-9","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_14","{=AtNVVwTF}Short Pine Shaft","3","Handle","","spear_handle_14","0.416","160","","","","","","","","-7","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_7","{=Nhhmj7bz}Hard Maple Pike Shaft","5","Handle","","spear_handle_7","2.36","295","","","","","","","","70.0","","150","","","","","","","","","","","swing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_23","{=GsBQCQEF}Reinforced Long Pine Shaft","3","Handle","","spear_handle_23","2.29","250","","","","","","","","65.0","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_19","{=e1DF7wbz}Hardened Ashen Staff","5","Handle","","spear_handle_19","2.115","210","","","","","","","","50.0","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_13","{=pocRP9dq}Long Ash Staff","3","Handle","","spear_handle_13","2.088","228","","","","","","","","40.0","","110","","","","","","","","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_24","{=8yb60cDi}Mahogany Long Spear Shaft","4","Handle","","spear_handle_24","2.381","260","","","","","","","","70.0","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_20","{=tgJ3dSOx}Oaken Long Spear Staff","4","Handle","","spear_handle_20","1.612","220","","","","","","","","55.0","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_17","{=J5Tu73Mb}Hardened Pine Long Spear Staff","4","Handle","","spear_handle_17","2.08","190","","","","","","","","45.0","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_8","{=aQa3tp6Q}Decorated Long Pine Shaft","5","Handle","","spear_handle_8","0.65","230","","","","","","","","10.0","","110","","","","","","","","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_26","{=ELpWa0K5}Cured Oaken Pike Shaft","5","Handle","","spear_handle_26","0.75","280","","","","","","","","10.0","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_15","{=NQb8boHt}Hardened Ash Shaft","4","Handle","","spear_handle_15","0.55","170","","","","","","","","10.0","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_handle_1","{=Uhc0KIdz}Pine Spear Staff","1","Handle","","spear_handle_1","0.5","149","","","","","","","","14.9","","100","true","","","","","","","","","","long","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_13","{=MpVC0RXl}Northern Triangular Spear","5","Blade","","spear_blade_13","0.4592","50.864","","","2","","","Pierce","1.1","","","","","","bo_spear_b","bo_throwing_spear_quiver_5_1","throwing_spear_quiver_5_1","96.7","wood_weapon","","","","swing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_35","{=ZUp9mm79}Jagged Spear Head","5","Blade","","spear_blade_35","0.3256","41","","","2","","","Pierce","1.1","","","","","","bo_spear_b","bo_throwing_spear_quiver_5_1","throwing_spear_quiver_5_1","96.7","wood_weapon","","","","swing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_35_blunt","{=c6aNuaDP}Jagged Blunt Spear Head","5","Blade","","spear_blade_35","0.3256","41","","","2","","","Pierce","1.1","","","","","true","bo_spear_b","bo_throwing_spear_quiver_5_1","throwing_spear_quiver_5_1","96.7","wood_weapon","","","","swing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_38","{=nr3K4od2}Pilum Head","5","Blade","","spear_blade_38","0.250","23.7","","","2","","","Pierce","1","","","","","","bo_spear_b","bo_throwing_spear_quiver_3_2","throwing_spear_quiver_3_2","96.8","wood_weapon","","","","swing","BonusAgainstShield","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_43","{=wait0O6m}Warrazor Head","5","Blade","","spear_blade_43","0.6","64.4","","","3","Cut","1.3","Pierce","0.4","","","","","","bo_spear_b","","","","wood_weapon","","","","shield","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_7","{=dXRt8jY4}Menavlion Head","5","Blade","","spear_blade_7","0.3656","30","","","3","","","Pierce","1.3","","","","","","bo_spear_b","","","","wood_weapon","-11","","","swing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_7_blunt","{=n55UtbGg}Sparring Menavlion Head","5","Blade","","spear_blade_7","0.3656","30","","","3","","","Blunt","1.3","","","","","","bo_spear_b","","","","wood_weapon","","","","swing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_18","{=qSV6C2tp}Swordstaff Head","5","Blade","","spear_blade_18","0.4096","45","","","3","","","Pierce","1.35","","","","","","bo_spear_b","","","","wood_weapon","-11","","","swing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_19","{=OBeOZ27b}Glaive Head","5","Blade","","spear_blade_19","0.35","37.4","","","3","Cut","1.1","Pierce","0.4","","","","","","bo_spear_b","","","","wood_weapon","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_19_blunt","{=TqXFwLYL}Blunt Glaive Head","5","Blade","","spear_blade_19","0.3","37.4","","","3","Cut","1.1","Pierce","0.4","","","","","true","bo_spear_b","","","","wood_weapon","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_24","{=bjQ8J71a}Long Glaive Head","5","Blade","","spear_blade_24","0.40","68","","","3","Cut","1.2","Pierce","0.5","","","","","","bo_spear_b","","","","wood_weapon","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","axe_craft_10_head","{=LNDbMUK0}Voulge Head","5","Blade","","axe_craft_10_head","0.6","","23.118","18.371","3","Cut","1.2","Pierce","0.8","-8","","","","","bo_axe_longer_b","","","","metal_weapon","","23","4","","CanBePickedUpFromCorpse","ItemFlags","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_33","{=R62maL2H}Bill Head","2","Blade","","spear_blade_33","0.3296","35.5","","","3","Cut","0.5","","","","","","","","bo_spear_b","","","","wood_weapon","","","","shield:thrust","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_33_blunt","{=EjJl6bA4}Blunt Bill Head","2","Blade","","spear_blade_33","0.3296","35.5","","","3","Cut","0.5","","","","","","","true","bo_spear_b","","","","wood_weapon","","","","shield:thrust","","","",""
"RBM","RBMCombat_couched_lances.xml","battania_blade_7","{=1Ia3Wxbf}Fine Steel Falx Blade","5","Blade","Culture.battania","battania_blade_7","0.6","75","","","3","Cut","1.2","","","","","","","true","bo_sword_one_handed","","","","metal_weapon","","","","shield:thrust","BonusAgainstShield","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_22","{=3ged5Ozt}Exceptional Eastern Glaive","5","Blade","","spear_blade_22","0.4","89","","","3","Cut","1.3","Pierce","0.55","","","","","","bo_spear_b","","","","wood_weapon","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_44","{=PmPxx2gK}Bent Razor Head","1","Blade","","spear_blade_44","0.33","80","","","3","Cut","0.6","Pierce","0.4","","","","","","bo_spear_b","","","","wood_weapon","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_45","{=LNDbMUK0}Voulge Head","4","Blade","","spear_blade_45","1.2","40","","","3","Cut","0.9","Pierce","0.7","","","","","","bo_spear_b","","","","wood_weapon","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_23","{=RBM_CLA_001}Light Lance Head","4","Blade","","spear_blade_23","0.1","42","","","3","","","Pierce","1.0","","","","","","bo_spear_b","","","","wood_weapon","","","","swing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_23_blunt","{=RBM_CLA_002}Tournament Light Lance Head","4","Blade","","spear_blade_23","0.1","42","","","3","","","Pierce","1.0","","","","","true","bo_spear_b","","","","wood_weapon","","","","swing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_20","{=RBM_CLA_003}Medium Lance Head","5","Blade","","spear_blade_20","0.1","46","","","3","","","Pierce","1.05","","","","","","bo_spear_b","","","","wood_weapon","","","","swing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_20_blunt","{=RBM_CLA_004}Tournament Medium Lance Head","5","Blade","","spear_blade_20","0.1","46","","","3","","","Pierce","1.05","","","","","true","bo_spear_b","","","","wood_weapon","","","","swing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_5","{=RBM_CLA_005}Heavy Lance Head","5","Blade","","spear_blade_5","0.1","52.242","","","3","","","Pierce","1.1","","","","","","bo_spear_b","","","","wood_weapon","","","","swing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_6","{=S75vUGzK}Fine Steel Hewing Spear Head","5","Blade","","spear_blade_6","1.25","84.4","","","3","Cut","0.9","Pierce","1.15","","","","","","bo_spear_b","","","","wood_weapon","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_1","{=Oxew9WCe}Imperial Simple Spear Head","2","Blade","","spear_blade_1","0.36","48","","","5","","","Pierce","0.8","","","","","","bo_spear_b","bo_throwing_spear_quiver_4","throwing_spear_quiver_4","96.2","wood_weapon","","","","swing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_8","{=CdBAvJdP}Kontos Head","3","Blade","","spear_blade_8","0.4","60.153","","","3","","","Pierce","0.9","","","","","","bo_spear_b","","","","wood_weapon","","","","swing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_4","{=ZcUNAfKT}Extra Long Fine Steel Spear Head","4","Blade","","spear_blade_4","0.5168","72.558","","","3","","","Pierce","1","","","","","","bo_spear_b","","","","wood_weapon","","","","swing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_42","{=9aYBy1RN}Fine Steel Leaf Spear Head","4","Blade","","spear_blade_42","0.5456","42","","","3","","","Pierce","1","","","","","","bo_spear_b","bo_throwing_spear_quiver_4_1","throwing_spear_quiver_4_1","96.2","wood_weapon","","","","swing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_14","{=T1aiDuOp}Narrow Menavlon Head","3","Blade","","spear_blade_14","0.5268","46.28","","","5","","","Pierce","0.9","","","","","","bo_spear_b","bo_throwing_spear_quiver_4","throwing_spear_quiver_4","96.2","wood_weapon","","","","swing:TwoHandedPolearm_Bracing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_37","{=XSabsFbx}Weighted Awl Pike Head","3","Blade","","spear_blade_37","0.4104","23.7","","","5","","","Pierce","0.9","","","","","","bo_spear_b","bo_throwing_spear_quiver_5","throwing_spear_quiver_5","96.7","wood_weapon","","","","swing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_27","{=1rGNXUaJ}Thin Fine Steel Hewing Spear Head","5","Blade","","spear_blade_27","0.7","69.5","","","4","Cut","1.0","Pierce","1.25","","","","","","bo_spear_b","bo_throwing_spear_quiver_2","throwing_spear_quiver_2","94.6","wood_weapon","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_40","{=NAHHwS3G}Broad Leaf Shaped Spear Tip","3","Blade","","spear_blade_40","1","42","","","3","Cut","0.7","Pierce","0.85","","","","","","bo_spear_b","","","","wood_weapon","","","","","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_36","{=nRKOX66b}Jagged Fine Steel Spear Head","4","Blade","","spear_blade_36","0.468","42.5","","","3","","","Pierce","1","","","","","","bo_spear_b","","","","wood_weapon","","","","swing","","","",""
"RBM","RBMCombat_couched_lances.xml","spear_blade_15","{=Y4tIQnS4}Short Simple Spear Head","2","Blade","","spear_blade_15","0.300","22.862","","","5","","","Pierce","0.8","","","","","","bo_spear_b","bo_throwing_spear_quiver_1_1","throwing_spear_quiver_1_1","68.9","wood_weapon","","","","swing","","","",""
