"source_mod","source_file","id","name","crafting_template","culture","modifier_group","has_modifier","is_merchandise"
"RBM","RBMCombat_gladius.xml","aserai_mace_3_t3","{=FJDCc3Y2}Heavy Horsemans Mace","Mace","Culture.aserai","","",""
"RBM","RBMCombat_gladius.xml","light_mace_t3","{=PBLsXDgP}Light Mace","Mace","","","",""
"RBM","RBMCombat_gladius.xml","steel_mace_t3","{=8pnCvnFR}Steel Shestopyor","Mace","","","",""
"RBM","RBMCombat_gladius.xml","morningstar_mace_t3","{=6EWm09LY}Morningstar","Mace","","","",""
"RBM","RBMCombat_gladius.xml","vlandia_mace_2_t4","{=dSTxsYsh}Fullered Cavalry Mace","Mace","Culture.vlandia","","",""
"RBM","RBMCombat_gladius.xml","empire_mace_2_t4","{=4cMV1pY3}Imperial Light Mace","Mace","Culture.empire","","",""
"RBM","RBMCombat_gladius.xml","empire_mace_3_t4","{=YLplNGxb}Calradic Mace","Mace","Culture.empire","","",""
"RBM","RBMCombat_gladius.xml","aserai_mace_4_t4","{=JM8Mjfa0}Spiralled Mace","Mace","Culture.aserai","","",""
"RBM","RBMCombat_gladius.xml","khuzait_mace_2_t4","{=fcgDtZy7}Eastern Heavy Mace","Mace","Culture.khuzait","","",""
"RBM","RBMCombat_gladius.xml","khuzait_mace_3_t4","{=b88lWWOo}Fine Steel Mace","Mace","Culture.khuzait","","",""
"RBM","RBMCombat_gladius.xml","shishpar_mace_t4","{=9EWN9SiT}Light Shishpar Mace","Mace","Culture.aserai","","",""
"RBM","RBMCombat_gladius.xml","eastern_steel_mace_t4","{=xYk4953c}Steel Mace","Mace","Culture.khuzait","","",""
"RBM","RBMCombat_gladius.xml","vlandia_mace_3_t5","{=rnzpyc0N}Pernach","Mace","Culture.vlandia","","",""
"RBM","RBMCombat_gladius.xml","empire_mace_4_t5","{=UMX05EQF}Light Royal Mace","Mace","Culture.empire","","",""
"RBM","RBMCombat_gladius.xml","empire_mace_5_t5","{=Kv4zAMIh}Cataphract Mace","Mace","Culture.empire","","",""
"RBM","RBMCombat_gladius.xml","khuzait_mace_4_t5","{=fz23ajFz}Heavy Flanged Mace","Mace","Culture.khuzait","","",""
"RBM","RBMCombat_gladius.xml","battania_2haxe_1_t2","{=bNABNs8O}Square Bit Two Handed Axe","TwoHandedAxe","Culture.battania","axe","",""
"RBM","RBMCombat_lances.xml","vlandia_lance_1_t3","{=RBM_LAN_011}Vlandian Light Lance","TwoHandedPolearm","Culture.vlandia","","",""
"RBM","RBMCombat_lances.xml","empire_lance_1_t3","{=RBM_LAN_012}Imperial Light Lance","TwoHandedPolearm","Culture.empire","","",""
"RBM","RBMCombat_lances.xml","khuzait_lance_1_t3","{=RBM_LAN_013}Khuzait Light Lance","TwoHandedPolearm","Culture.khuzait","","",""
"RBM","RBMCombat_lances.xml","vlandia_lance_2_t4","{=RBM_LAN_014}Vlandia Lance","TwoHandedPolearm","Culture.vlandia","","",""
"RBM","RBMCombat_lances.xml","empire_lance_2_t4","{=RBM_LAN_015}Imperial Lance","TwoHandedPolearm","Culture.empire","","",""
"RBM","RBMCombat_lances.xml","sturgia_lance_1_t4","{=J4fgemze}Sturgian Lance","TwoHandedPolearm","Culture.sturgia","","",""
"RBM","RBMCombat_lances.xml","khuzait_lance_2_t4","{=inr9Mt1i}Khuzait Lance","TwoHandedPolearm","Culture.khuzait","","",""
"RBM","RBMCombat_lances.xml","vlandia_lance_3_t5","{=SGa04hNj}Vlandian Heavy Lance","TwoHandedPolearm","Culture.vlandia","","",""
"RBM","RBMCombat_lances.xml","sturgia_lance_2_t5","{=6eO6QDoE}Sturgian Heavy Lance","TwoHandedPolearm","Culture.sturgia","","",""
"RBM","RBMCombat_lances.xml","empire_lance_3_t5","{=eND6ECxg}Cataphract Lance","TwoHandedPolearm","Culture.empire","","",""
"RBM","RBMCombat_lances.xml","khuzait_lance_3_t5","{=RBM_LAN_016}Eastern Noble Lance","TwoHandedPolearm","Culture.khuzait","","",""
"RBM","RBMCombat_lances.xml","aserai_lance_1_t5","{=hsRwbHSk}Mamluke Lance","TwoHandedPolearm","Culture.aserai","","",""
"RBM","RBMCombat_lances.xml","vlandia_polearm_1_t5","{=zbsajPMp}Voulge","TwoHandedPolearm","Culture.vlandia","","",""
"RBM","RBMCombat_lances.xml","easter_polesword_t4","{=RBM_LAN_017}Eastern Polesword","TwoHandedPolearm","Culture.aserai","","",""
"RBM","RBMCombat_lances.xml","sturgia_polearm_1_t5","{=160aqzPm}Warrazor","TwoHandedPolearm","Culture.sturgia","","",""
"RBM","RBMCombat_lances.xml","battania_polearm_1_t5","{=V4b2ZRTH}Rhomphalia","TwoHandedPolearm","Culture.battania","","",""
"RBM","RBMCombat_lances.xml","khuzait_polearm_1_t4","{=6hwZwODh}Glaive","TwoHandedPolearm","Culture.khuzait","","",""
"RBM","RBMCombat_lances.xml","highland_spear_3_t3","{=HVcwvRMF}Reinforced Highland Spear","TwoHandedPolearm","Culture.battania","","",""
"RBM","RBMCombat_lances.xml","southern_spear_3_t4","{=vXYlLH6L}Long Thamaskene Tipped Spear","TwoHandedPolearm","Culture.aserai","","",""
"RBM","RBMCombat_lances.xml","northern_spear_2_t3","{=xTyib5ms}Broad Leaf Shaped Spear","TwoHandedPolearm","Culture.battania","","",""
"RBM","RBMCombat_lances.xml","eastern_spear_2_t3","{=G7EbBKuA}Narrow Long Headed Spear","TwoHandedPolearm","Culture.khuzait","","",""
"RBM","RBMCombat_lances.xml","eastern_spear_3_t3","{=YGndAhTr}Weighted Steppe Spear","TwoHandedPolearm","Culture.khuzait","","",""
"RBM","RBMCombat_lances.xml","northern_spear_3_t4","{=ZLpYFYXo}Jagged Fine Steel Spear","TwoHandedPolearm","Culture.sturgia","","",""
"RBM","RBMCombat_lances.xml","highland_spear_4_t4","{=duIWCjdD}Steel Tipped Hooked Spear","TwoHandedPolearm","Culture.battania","","",""
"RBM","RBMCombat_lances.xml","eastern_spear_4_t4","{=bwXACVOb}Fine Steel Leaf Spear","TwoHandedPolearm","Culture.aserai","","",""
"RBM","RBMCombat_lances.xml","western_javelin_1_t2","{=RBM_LAN_001}Pine Throwing Dart","Javelin","","spear_dart_throwing","",""
"RBM","RBMCombat_lances.xml","northern_javelin_1_t2","{=RBM_LAN_002}Pine Javelin","Javelin","Culture.sturgia","spear_dart_throwing","",""
"RBM","RBMCombat_lances.xml","western_javelin_2_t3","{=RBM_LAN_003}Pine Throwing Lance","Javelin","Culture.vlandia","spear_dart_throwing","",""
"RBM","RBMCombat_lances.xml","generic_javelin_1_t3","{=RBM_LAN_004}Ash Throwing Lance","Javelin","","spear_dart_throwing","",""
"RBM","RBMCombat_lances.xml","northern_javelin_2_t3","{=RBM_LAN_005}Ash Javelin","Javelin","Culture.battania","spear_dart_throwing","",""
"RBM","RBMCombat_lances.xml","western_javelin_3_t4","{=RBM_LAN_006}Oaken Throwing Lance","Javelin","Culture.vlandia","spear_dart_throwing","",""
"RBM","RBMCombat_lances.xml","northern_javelin_3_t4","{=RBM_LAN_007}Oaken Angon","Javelin","Culture.sturgia","spear_dart_throwing","",""
"RBM","RBMCombat_lances.xml","eastern_javelin_1_t2","{=RBM_LAN_008}Mahagony Throwing Dart","Javelin","Culture.khuzait","spear_dart_throwing","",""
"RBM","RBMCombat_lances.xml","eastern_javelin_2_t3","{=RBM_LAN_009}Mahagony Javelin","Javelin","Culture.khuzait","spear_dart_throwing","",""
"RBM","RBMCombat_lances.xml","eastern_javelin_3_t4","{=RBM_LAN_010}Mahagony Throwing Lance","Javelin","Culture.aserai","spear_dart_throwing","",""
"RBM","RBMCombat_lances.xml","imperial_throwing_spear_1_t4","{=v3lIxLvX}Pila","Javelin","Culture.empire","spear_dart_throwing","",""
"RBM","RBMCombat_lances.xml","imperial_throwing_spear_1_t4_2","{=rkqaCud5}Heavy Pilum","Javelin","Culture.empire","spear_dart_throwing","","true"
"RBM","RBMCombat_lances.xml","eastern_throwing_spear_2_t4","{=kJzIZMBR}Triangular Throwing Spear","Javelin","Culture.khuzait","spear_dart_throwing","",""
"RBM","RBMCombat_lances.xml","eastern_throwing_spear_1_t3","{=EgrNdBct}Jagged Throwing Spear","Javelin","Culture.khuzait","spear_dart_throwing","",""
"RBM","RBMCombat_lances.xml","eastern_spear_5_t5","{=mWxNSjSP}Thin Fine Steel Hewing Spear","TwoHandedPolearm","Culture.khuzait","","",""
"RBM","RBMCombat_lances.xml","northern_spear_4_t5","{=N28bDEhh}Fine Steel Hewing Spear","TwoHandedPolearm","Culture.sturgia","","",""
"RBM","RBMCombat_lances.xml","simple_pike_t2","{=GKzw7E8a}Simple Pike","Pike","","","",""
"RBM","RBMCombat_lances.xml","military_fork_pike_t3","{=kR1blV2k}Notched Military Fork","Pike","","","",""
"RBM","RBMCombat_lances.xml","thamaskene_pike_t4","{=RwpJFXxc}Thamaskene Pike","Pike","","","",""
"RBM","RBMCombat_lances.xml","fine_pike_t4","{=dkuzrKJF}Fine Pike","Pike","","","",""
"RBM","RBMCombat_lances.xml","vlandia_pike_1_t5","{=RBM_LAN_018}Western Pike","Pike","Culture.vlandia","","",""
"RBM","RBMCombat_lances.xml","empire_polearm_1_t4","{=RBM_LAN_019}Light Menavlion","Pike","Culture.empire","","",""
"RBM","RBMCombat_lances.xml","empire_polearm_2_t5","{=bzr6vtXi}Heavy Menavlion","Pike","Culture.empire","","",""
"RBM","RBMCombat_lances.xml","western_spear_1_t2","{=hyq1zBg5}Simple Commoner Spear","TwoHandedPolearm","Culture.vlandia","polearm","",""
"RBM","RBMCombat_lances.xml","western_spear_2_t2","{=bue69aD4}Simple Short Spear","TwoHandedPolearm","Culture.vlandia","polearm","",""
"RBM","RBMCombat_lances.xml","eastern_spear_1_t2","{=yCvBx27Z}Jagged Spear","TwoHandedPolearm","Culture.aserai","polearm","",""
"RBM","RBMCombat_lances.xml","northern_spear_1_t2","{=RzLZHrYT}Short Simple Raider Spear","TwoHandedPolearm","Culture.sturgia","polearm","",""
"RBM","RBMCombat_lances.xml","imperial_spear_t2","{=Vyw5KNxR}Short Militia Spear","TwoHandedPolearm","Culture.empire","polearm","",""
"RBM","RBMCombat_lances.xml","highland_spear_t2","{=rhWOdhjr}Highland War Spear","TwoHandedPolearm","Culture.battania","polearm","",""
"RBM","RBMCombat_lances.xml","military_fork_t2","{=FbG3CW5p}Military Fork","TwoHandedPolearm","Culture.sturgia","polearm","",""
"RBM","RBMCombat_lances.xml","western_spear_3_t3","{=WQksMqMR}Tall Tipped Long Spear","TwoHandedPolearm","Culture.vlandia","polearm","",""
"RBM","RBMCombat_lances.xml","western_spear_4_t3","{=NFT4sLva}Tall Tipped Spear","TwoHandedPolearm","Culture.vlandia","polearm","",""
"RBM","RBMCombat_lances.xml","southern_spear_3_t3","{=zH0QF7mE}Knob Headed Spear with Frills","TwoHandedPolearm","Culture.aserai","polearm","",""
"RBM","RBMCombat_lances.xml","southern_spear_4_t3","{=IDfl59yt}Knob Headed Spear","TwoHandedPolearm","Culture.aserai","polearm","",""
"RBM","RBMCombat_lances.xml","triangluar_spear_t3","{=Jkd2gmyj}Triangular Headed Spear","TwoHandedPolearm","","polearm","",""
"RBM","RBMCombat_lances.xml","northern_spear_4_t4","{=9UB0LF8Z}Northern Cavalry Spear","TwoHandedPolearm","Culture.battania","polearm","",""
"RBM","RBMCombat_lances.xml","western_spear_4_t4","{=t28VYqjP}Long Fine Steel Spear","TwoHandedPolearm","Culture.empire","polearm","",""
"RBM","RBMCombat_lances.xml","western_spear_5_t4","{=jcOJqWGA}Fine Steel Spear","TwoHandedPolearm","Culture.empire","polearm","",""
"RBM","RBMCombat_lances.xml","wide_leaf_spear_t4","{=hz87PBsa}Wide Leaf Spear","TwoHandedPolearm","","polearm","",""
"RBM","RBMCombat_lances.xml","billhook_polearm_t2","{=Dj64aJKQ}Billhook","TwoHandedPolearm","Culture.vlandia","polearm","",""
"RBM","RBMCombat_lances.xml","khuzait_polearm_2_t5","{=JxV66l02}Long Glaive","TwoHandedPolearm","Culture.khuzait","polearm","",""
"RBM_WS","RBMCombat_WS_Weapons.xml","berserkr_axe","{=j18j5Qq6}Berserkr Axe","TwoHandedAxe","","","",""
"RBM_WS","RBMCombat_WS_Weapons.xml","nord_long_two_handed_t6","{=VAl57s9g}Swift Wing Axe","TwoHandedAxe","Culture.nord","axe","",""
"RBM_WS","RBMCombat_WS_Weapons.xml","nord_twohanded_axe_1_t3","{=BTjW1WU1}Nord Axe","TwoHandedAxe","Culture.nord","","",""
"RBM_WS","RBMCombat_WS_Weapons.xml","nord_twohanded_axe_2_t4","{=dQgzH73b}Hollowed Wing Axe","TwoHandedAxe","Culture.nord","","",""
"RBM_WS","RBMCombat_WS_Weapons.xml","nord_twohanded_axe_3_t5","{=qX8OuuUy}Reinforced Ravens Wing Axe","TwoHandedAxe","Culture.nord","","",""
"RBM_WS","RBMCombat_WS_Weapons.xml","nord_twohanded_axe_4_t5","{=CHIq1ODq}Ravens Wing Axe","TwoHandedAxe","Culture.nord","","",""
"RBM_WS","RBMCombat_WS_Weapons.xml","nord_twohanded_axe_5_t4","{=cQPMKMvU}Reinforced Hollowed Wing Axe","TwoHandedAxe","Culture.nord","","",""
"RBM_WS","RBMCombat_WS_Weapons.xml","nord_twohanded_axe_6_t4","{=qxDt8gnY}Reinforced Nord Axe","TwoHandedAxe","Culture.nord","","",""
"RBM_WS","RBMCombat_WS_Weapons.xml","nord_2haxe_blunt","{=HZzitkbA}Nord Hollow Two Handed Axe","TwoHandedAxe","Culture.nord","","false","false"
"RBM_WS","RBMCombat_WS_Weapons.xml","head_breaker_2haxe","{=6JDP59hC}Head Breaker","TwoHandedAxe","","","","false"
"RBM_WS","RBMCombat_WS_Weapons.xml","barghasts_great_axe","{=EvQfwcbG}Barghasts Great Axe","TwoHandedAxe","","","",""
