"source_mod","source_file","id","name","Type","culture","subtype","mesh","weight","value","difficulty","appearance","item_category","Armor.material_type","Armor.modifier_group","Armor.head_armor","Armor.body_armor","Armor.arm_armor","Armor.leg_armor","Armor.covers_body","Armor.has_gender_variations","Armor.hair_cover_type","Armor.beard_cover_type","Armor.mane_cover_type","Armor.maneuver_bonus","Armor.speed_bonus","Armor.charge_bonus","Armor.family_type","Armor.reins_mesh","Weapon.weapon_class","Weapon.ammo_class","Weapon.weapon_length","Weapon.thrust_damage","Weapon.thrust_damage_type","Weapon.thrust_speed","Weapon.swing_damage","Weapon.swing_damage_type","Weapon.speed_rating","Weapon.accuracy","Weapon.missile_speed","Weapon.stack_amount","Weapon.modifier_group","Weapon.item_usage","Horse.monster","Horse.maneuver","Horse.speed","Horse.charge_damage","Horse.body_length","Horse.extra_health","Horse.is_mountable","Horse.is_pack_animal","Horse.modifier_group","AmmoOffset","Armor.body_mesh_type","Armor.covers_hands","Armor.covers_head","Armor.covers_legs","Armor.stealth_factor","Armor.tail_cover_type","body_name","Flags.CannotBePickedUp","Flags.Civilian","Flags.DoesNotHideChest","Flags.DropOnAnyAction","Flags.DropOnWeaponChange","Flags.ForceAttachOffHandPrimaryItemBone","Flags.ForceAttachOffHandSecondaryItemBone","Flags.HeldInOffHand","Flags.QuickFadeOut","Flags.Stealth","Flags.UseTeamColor","Flags.WoodenParry","flying_mesh","has_lower_holster_priority","holster_body_name","holster_mesh","holster_mesh_with_weapon","holster_position_shift","Horse.mane_mesh","Horse.skeleton_scale","is_merchandise","IsFood","item_holsters","lod_atlas_index","multiplayer_item","prefab","recalculate_body","shield_body_name","skeleton_name","static_animation_name","tier_override","Trade.morale_bonus","using_tableau","Weapon.ammo_limit","Weapon.body_armor","Weapon.center_of_mass","Weapon.fire_damage","Weapon.flying_sound_code","Weapon.hit_points","Weapon.passby_sound_code","Weapon.physics_material","Weapon.position","Weapon.reload_phase_count","Weapon.rotation","Weapon.rotation_speed","Weapon.sticking_position","Weapon.sticking_rotation","Weapon.trail_particle_name","Weapon.weapon_balance","Weapon.WeaponFlags.AffectsArea","Weapon.WeaponFlags.AffectsAreaBig","Weapon.WeaponFlags.AmmoBreaksOnBounceBack","Weapon.WeaponFlags.AmmoCanBreakOnBounceBack","Weapon.WeaponFlags.AmmoSticksWhenShot","Weapon.WeaponFlags.AttachAmmoToVisual","Weapon.WeaponFlags.AutoReload","Weapon.WeaponFlags.Burning","Weapon.WeaponFlags.CanBeUsedWhileCrouched","Weapon.WeaponFlags.CanBlockRanged","Weapon.WeaponFlags.CanKillEvenIfBlunt","Weapon.WeaponFlags.CanKnockDown","Weapon.WeaponFlags.CanPenetrateShield","Weapon.WeaponFlags.Consumable","Weapon.WeaponFlags.HasHitPoints","Weapon.WeaponFlags.HasString","Weapon.WeaponFlags.LeavesTrail","Weapon.WeaponFlags.MeleeWeapon","Weapon.WeaponFlags.MissileWithPhysics","Weapon.WeaponFlags.MultiplePenetration","Weapon.WeaponFlags.NotUsableWithOneHand","Weapon.WeaponFlags.RangedWeapon","Weapon.WeaponFlags.StringHeldByHand","Weapon.WeaponFlags.TwoHandIdleOnMount","Weapon.WeaponFlags.UnloadWhenSheathed","Weapon.WeaponFlags.UseHandAsThrowBase"
"RBM","RBMCombat_arm_armors.xml","padded_vambrace","{=MamotK0a}Padded Vambraces","HandArmor","Culture.neutral_culture","","padded_vambrace_a","0.1","","0","1","","Cloth","cloth","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","woven_leather_bracers","{=fUmehyHq}Woven Leather Bracers","HandArmor","Culture.empire","","vlandia_leather_stripes_bracers","0.8","","","1","","Leather","leather","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","guarded_padded_vambrace","{=whvMZZba}Guarded Padded Vambraces","HandArmor","Culture.aserai","","padded_vambrace_a_handguard","0.6","","0","1","","Cloth","cloth","","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","true","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","highland_gloves","{=4HcrY0S2}Fur Rimmed Leather Gloves","HandArmor","Culture.battania","","pict_armor_glove","0.8","","0","1","","Leather","leather","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","10","","","","true","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","padded_mitten","{=J3YHMkL3}Padded Mittens","HandArmor","Culture.empire","","padded_vambrace_a_mitten","0.6","","0","1","","Cloth","cloth","","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","studded_leather_vambraces","{=bxa4JHlU}Studded Leather Vambraces","HandArmor","Culture.khuzait","","crossbow_armor_leather_hand_a","0.9","","","1","","Leather","leather","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","steppe_leather_vambraces","{=LoUxaFeE}Leather Vambraces","HandArmor","Culture.khuzait","","khuzait_leather_armor_hand","0.5","","","1","","Leather","leather","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","lordly_padded_mitten","{=t01v8qW7}Lordly Padded Mittens","HandArmor","Culture.empire","","padded_vambrace_a_lordly","1.3","","0","0.7","","Cloth","cloth","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","reinforced_padded_mitten","{=PLtQdf23}Reinforced Padded Mittens","HandArmor","Culture.empire","","padded_vambrace_a_reinforced","0.9","","0","2","","Cloth","cloth","","","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","battania_noble_bracers","{=wLAL9NRB}Fian Bracers","HandArmor","Culture.battania","","battania_noble_bracers","0.6","","0","3","","Leather","leather","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","reinforced_leather_vambraces","{=2Ilvjlz9}Splint Vambraces","HandArmor","Culture.vlandia","","crossbow_armor_leather_hand_b","1","","","2","","Plate","plate","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","northern_brass_bracers","{=Xrb43Fv4}Bronze Bracers","HandArmor","Culture.sturgia","","sturgia_leather_brass_bracer","1.3","","","1.6","","Plate","plate","","","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","plated_strip_gauntlets","{=ulaMq9HL}Plated Striped Vambraces","HandArmor","Culture.empire","","empire_plated_gauntlets","1.4","","","1.3","","Plate","plate","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","eastern_plated_leather_vambraces","{=mvTueU1y}Plated Leather Vambraces","HandArmor","Culture.khuzait","","plated_leather_armor_glove_b","1.7","","","1","","Plate","plate","","","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","","10","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","mail_mitten","{=g51zVsKU}Mail Mittens","HandArmor","Culture.vlandia","","mail_mitten_c","1.4","","0","1.6","","Chainmail","chain","","","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","reinforced_mail_mitten","{=dPQGxmJ7}Reinforced Mail Mittens","HandArmor","Culture.vlandia","","mail_mitten_b","1.6","","0","3","","Chainmail","chain","","","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","battania_warlord_bracers","{=I0vRCZ7U}Scale Warlord Bracers","HandArmor","Culture.battania","","battania_warlord_bracers","1.5","","0","3","","Plate","plate","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","decorated_imperial_gauntlets","{=2XEbqNQz}Decorated Imperial Gauntlets","HandArmor","Culture.empire","","empire_plate_armor_gauntlets","1.5","","","3","","Plate","plate","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","northern_plated_gloves","{=G8FQ2exX}Plate Reinforced Gloves","HandArmor","Culture.sturgia","","sturgia_plate_gauntlet","1.5","","","2","","Plate","plate","","","56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","lordly_mail_mitten","{=VDMkVMxt}Heavy Mail Mittens","HandArmor","Culture.vlandia","","mail_mitten_a","1.7","","","3","","Chainmail","chain","","","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","lamellar_plate_gauntlets","{=XGX6DbFL}Lamellar Plate Gauntlets","HandArmor","Culture.empire","","imperial_gauntlets","1.8","","","3","","Plate","plate","","","63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arm_armors.xml","khuzait_heavy_armor_bracer","{=NfFAgMUE}Khan's Plated Bracers","HandArmor","Culture.vlandia","","khuzait_heavy_armor_bracer","2.2","","","7","","Plate","plate","","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBM","RBMCombat_arrow_visuals.xml","tournament_arrows","{=RBM_ARR_001}Flight Arrows 30 grams","Arrows","","","arrow_bl_i","0.03","","","1","","","","","","","","","","","","","","","","","","Arrow","","97","115","Cut","0","","","0","","30","30","arrow","arrow_right","","","","","","","","","","","","","","","","","bo_capsule_arrow","","true","","","","","","","","true","","","arrow_bl_flying","","bo_axe_short","arrow_bl_i_quiver","arrow_bl_i_quiver","0.0,0.0,0.15","","","true","","quiver_back_middle:quiver_bolts:quiver_bolts_2","","","","","","","","","","","","","0,0,0","","","","event:/mission/combat/missile/passby","missile","","","0, -80, 25","","0,-0.97,0","90,0,0","","","","","true","","true","","","","","","","","","true","","","","","","","","","","","",""
"RBM","RBMCombat_arrow_visuals.xml","range_arrows","{=RBM_ARR_002}Barbed Head Arrows 40 grams","Arrows","","","arrow_bl_i","0.04","","","1","","","","","","","","","","","","","","","","","","Arrow","","97","115","Cut","0","","","0","","40","30","arrow","arrow_right","","","","","","","","","","","","","","","","","bo_capsule_arrow","","true","","","","","","","","true","","","arrow_bl_flying","","bo_arrow_bl_i_quiver","arrow_bl_i_quiver","arrow_bl_i_quiver","0.0,0.0,0.15","","","true","","quiver_back_middle:quiver_bolts_2:quiver_bolts","","","","","","","","","","","","","0,0,0","","","","event:/mission/combat/missile/passby","missile","","","0, -80, 25","","0,-0.97,0","90,0,0","","","","","true","","true","","","","","","","","","true","","","","","","","","","","","",""
"RBM","RBMCombat_arrow_visuals.xml","steppe_arrows","{=RBM_ARR_003}Needle Bodkin Arrows 40 grams","Arrows","","","arrow_bl_d","0.04","","","1","","","","","","","","","","","","","","","","","","Arrow","","97","100","Pierce","0","","","0","","40","30","arrow","arrow_right","","","","","","","","","","","","","","","","","bo_capsule_arrow","","true","","","","","","","","","","","arrow_bl_flying","","bo_arrow_bl_e_quiver","arrow_bl_e_quiver","arrow_bl_e_quiver","0.0,0.0,-0.0","","","true","","quiver_back_lower:quiver_back_lower_2","","","","","","","","","","","","","0,0,0","","","","event:/mission/combat/missile/passby","missile","","","0, -80, 25","","0,-0.97,0","90,0,0","","","","","true","","true","","","","","","","","","true","","","","","","","","","","","",""
"RBM","RBMCombat_arrow_visuals.xml","tournament_bolts","{=RBM_ARR_004}Barbed Head Bolts 50 grams","Bolts","","","bolt_bl_c","0.05","","","1","","","","","","","","","","","","","","","","","","Bolt","","47","115","Cut","0","","","0","","30","30","bolt","","","","","","","","","","","","","","","","","","bo_capsule_arrow","","true","","","","true","","","","true","","","bolt_bl_flying","","bo_bolt_bl_a_quiver","bolt_bl_a_quiver","bolt_bl_a_quiver","","","","true","","quiver_bolts:quiver_bolts_2:quiver_back_middle:quiver_back_top","","","","","","","","","","","","","0,0,0","","","","event:/mission/combat/missile/passby","missile","","","180, 0, 0","","0,-0.47,0","90,0,0","","","","","true","","true","true","","","","","","","","true","","","","","","","","","","","",""
"RBM","RBMCombat_arrow_visuals.xml","bodkin_arrows_c","{=RBM_ARR_005}Needle Bodkin Arrows 50 grams","Arrows","","","arrow_bl_d","0.05","","","1","","","","","","","","","","","","","","","","","","Arrow","","97","100","Pierce","0","","","0","","50","30","arrow","arrow_right","","","","","","","","","","","","","","","","","bo_capsule_arrow","","true","","","","","","","","true","","","arrow_bl_flying","","bo_arrow_bl_d_quiver","arrow_bl_d_quiver","arrow_bl_d_quiver","0.0,0.0,0.15","","","true","","quiver_back_middle:quiver_bolts_2:quiver_bolts","","","","","","","","","","","","","0,0,0","","","","event:/mission/combat/missile/passby","missile","","","0, -80, 25","","0,-0.97,0","90,0,0","","","","","true","","true","","","","","","","","","true","","","","","","","","","","","",""
"RBM","RBMCombat_arrow_visuals.xml","default_arrows","{=RBM_ARR_006}Barbed Head Arrows 50 grams","Arrows","","","arrow_bl_i","0.05","","","1","","","","","","","","","","","","","","","","","","Arrow","","97","115","Cut","0","","","0","","50","30","arrow","arrow_right","","","","","","","","","","","","","","","","","bo_capsule_arrow","","true","","","","","","","","true","","","arrow_bl_flying","","bo_axe_short","arrow_bl_i_quiver","arrow_bl_i_quiver","0.0,0.0,0.15","","","true","","quiver_back_middle:quiver_bolts_2:quiver_bolts","","","","","","","","","","","","","0,0,0","","","","event:/mission/combat/missile/passby","missile","","","0, -80, 25","","0,-0.97,0","90,0,0","","","","","true","","true","","","","","","","","","true","","","","","","","","","","","",""
"RBM","RBMCombat_arrow_visuals.xml","bolt_e","{=RBM_ARR_007}Needle Bodkin Bolts 60 grams","Bolts","","","bolt_bl_e","0.06","","","1","","","","","","","","","","","","","","","","","","Bolt","","37","100","Pierce","0","","","0","","40","30","bolt","","","","","","","","","","","","","","","","","","bo_capsule_arrow","","true","","","","true","","","","true","","","bolt_bl_flying","","bo_bolt_bl_e_quiver","bolt_bl_e_quiver","bolt_bl_e_quiver","","","","true","","quiver_bolts:quiver_bolts_2:quiver_back_middle:quiver_back_top","","","","","","","","","","","","","0,0,0","","","","event:/mission/combat/missile/passby","missile","","","180, 0, 0","","0,-0.47,0","90,0,0","","","","","true","","true","true","","","","","","","","true","","","","","","","","","","","",""
"RBM","RBMCombat_arrow_visuals.xml","barbed_arrows","{=RBM_ARR_008}Barbed Head Arrows 60 grams","Arrows","","","arrow_bl_g","0.06","","","1","","","","","","","","","","","","","","","","","","Arrow","","97","115","Cut","0","","","0","","60","30","arrow","arrow_right","","","","","","","","","","","","","","","","","bo_capsule_arrow","","true","","","","","","","","true","","","arrow_bl_flying","","bo_axe_short","arrow_bl_h_quiver","arrow_bl_h_quiver","0.0,0.0,0.15","","","true","","quiver_back_middle:quiver_bolts_2:quiver_bolts","","","","","","","","","","","","","0,0,0","","","","event:/mission/combat/missile/passby","missile","","","0, -80, 25","","0,-0.97,0","90,0,0","","","","","true","","true","","","","","","","","","true","","","","","","","","","","","",""
"RBM","RBMCombat_arrow_visuals.xml","heavy_steppe_arrows","{=RBM_ARR_009}Needle Bodkin Arrows 60 grams","Arrows","","","arrow_bl_d","0.06","","","1","","","","","","","","","","","","","","","","","","Arrow","","97","100","Pierce","0","","","0","","60","30","arrow","arrow_right","","","","","","","","","","","","","","","","","bo_capsule_arrow","","true","","","","","","","","true","","","arrow_bl_flying","","bo_arrow_bl_f_quiver","arrow_bl_f_quiver","arrow_bl_f_quiver","0.0,0.0,-0.0","","","true","","quiver_back_lower:quiver_back_lower_2","","","","","","","","","","","","","0,0,0","","","","event:/mission/combat/missile/passby","missile","","","0, -80, 25","","0,-0.97,0","90,0,0","","","","","true","","true","","","","","","","","","true","","","","","","","","","","","",""
