"source_mod","source_file","id","name","tier","piece_type","culture","mesh","weight","length","BladeData.blade_length","BladeData.blade_width","BladeData.stack_amount","BladeData.Swing.damage_type","BladeData.Swing.damage_factor","BladeData.Thrust.damage_type","BladeData.Thrust.damage_factor","StatContributions.armor_bonus","BuildData.piece_offset","BuildData.next_piece_offset","CraftingCost","is_default","appearance","BladeData.body_name","BladeData.holster_body_name","BladeData.holster_mesh","BladeData.holster_mesh_length","BladeData.physics_material","distance_to_next_piece","distance_to_previous_piece","excluded_item_usage_features","Flags.Flag.name","Flags.Flag.type","full_scale","item_holster_pos_shift","Materials.Material.count","Materials.Material.id"
"OSW","OSA_crafting_pieces.xml","AR_sturgia_guard_a","{=osa_ar_sturgia_guard_a}Gilded Ridged Northern Guard","4","Guard","Culture.sturgia","AR_sturgia_guard_a","0.2","1.73","","","","","","","","2","","0.2","","true","","","","","","","","","","","","","","1","Iron5"
"OSW","OSA_crafting_pieces.xml","AR_empire_pommel_a","{=osa_ar_empire_pommel_a}Ruby Pommel","5","Pommel","Culture.empire","AR_empire_pommel_a","0.14","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","1","Iron5"
"OSW","OSA_crafting_pieces.xml","AR_empire_pommel_b","{=osa_ar_empire_pommel_b}Gilded Eaglehead Pommel","5","Pommel","Culture.empire","AR_empire_pommel_b","0.2","5.4","","","","","","","","","","","","","0.9","","","","","","","","","","","","","1","Iron5"
"OSW","OSA_crafting_pieces.xml","AR_empire_pommel_c","{=osa_ar_empire_pommel_c}Gilded Top Pommel","5","Pommel","Culture.empire","AR_empire_pommel_c","0.170","6.795","","","","","","","","","","","","","","","","","","","","","","","","","","1","Iron5"
"OSW","OSA_crafting_pieces.xml","AR_battania_pommel_a","{=osa_ar_battania_pommel_a}Wooden Fishing Boat Pommel","1","Pommel","Culture.battania","AR_battania_pommel_a","0.140","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","1","Iron3"
"OSW","OSA_crafting_pieces.xml","AR_battania_pommel_b","{=osa_ar_battania_pommel_b}Round Wooden Pommel","1","Pommel","","AR_battania_pommel_b","0.069","3.8","","","","","","","","","","","","","","","","","","","","","","","","","","1","Wood"
"OSW","OSA_crafting_pieces.xml","AR_basic_pommel_a","{=osa_ar_basic_pommel_a}Basic Wooden Pommel","1","Pommel","","AR_basic_pommel_a","0.07","3.539","","","","","","","","","","","","","","","","","","","","","","","","","","1","Wood"
"OSW","OSA_crafting_pieces.xml","AR_basic_pommel_b","{=osa_ar_basic_pommel_b}Smooth Wooden Pommel","1","Pommel","Culture.aserai","AR_basic_pommel_b","0.12","4.89","","","","","","","","","","0","","","","","","","","","","","","","","","","1","Wood"
"OSW","OSA_crafting_pieces.xml","AR_basic_pommel_c","{=osa_ar_basic_pommel_c}Wooden Saber Pommel","1","Pommel","Culture.aserai","AR_basic_pommel_c","0.10","4.63","","","","","","","","","","","","","","","","","","","","","","","","","","1","Wood"
"OSW","OSA_crafting_pieces.xml","AR_khuzait_pommel_a","{=osa_ar_khuzait_pommel_a}Eastern Ornamental Pommel","5","Pommel","Culture.khuzait","AR_khuzait_pommel_a","0.3","6.4","","","","","","","","","","","","","","","","","","","","","","","","","","1","Iron5"
"OSW","OSA_crafting_pieces.xml","AR_aserai_pommel_a","{=osa_ar_aserai_pommel_a}Ram Head Pommel","5","Pommel","Culture.aserai","AR_aserai_pommel_a","0.2","7.3","","","","","","","","","","","","","","","","","","","","","","","","","","1","Iron5"
"OSW","OSA_crafting_pieces.xml","AR_empire_mace_head_a","{=osa_ar_empire_mace_head_a}Imperial Wooden Knobbed Mace Head","2","Blade","","AR_empire_mace_head_a","1.3","11.4","","","3","Blunt","2.3","Pierce","1","","","","","","","bo_mace_a","","","","wood_weapon","","","","","","true","","2","Iron1"
"OSW","OSA_crafting_pieces.xml","AR_empire_mace_head_b","{=osa_ar_empire_mace_head_b}Imperial Knobbed Mace Head","4","Blade","","AR_empire_mace_head_b","1.1","11.4","","","3","Blunt","3.3","Pierce","1","","","","","","","bo_mace_a","","","","wood_weapon","","","","","","true","","5","Iron3"
"OSW","OSA_crafting_pieces.xml","AR_darshi_mace_handle_a","{=osa_ar_darshi_mace_handle_a}Tapered Heavy Iron Mace Handle","3","Handle","","AR_darshi_mace_handle_a","0.540","78","","","","","","","","","30.4","","","","","","","","","","","","","","","","0,0,-0.05","1","Iron3"
"OSW","OSA_crafting_pieces.xml","AR_darshi_mace_handle_b","{=osa_ar_darshi_mace_handle_b}Tapered Heavy Decorated Mace Handle","4","Handle","","AR_darshi_mace_handle_b","0.540","78","","","","","","","","","30.4","","","","","","","","","","","","","","","","0,0,-0.05","1","Iron3"
"OSW","OSA_crafting_pieces.xml","AR_darshi_mace_head_a","{=osa_ar_darshi_mace_head_a}Steel Flower Mace Head","3","Blade","","AR_darshi_mace_head_a","1.08","20.8","","","3","Blunt","2.61","","","","","","","","","bo_mace_a","","","","wood_weapon","","","","","","true","","2","Iron2"
"OSW","OSA_crafting_pieces.xml","AR_darshi_mace_head_b","{=osa_ar_darshi_mace_head_b}Decorated Steel Flower Mace Head","4","Blade","","AR_darshi_mace_head_b","1.08","20.8","","","3","Blunt","3.06","","","","","","","","","bo_mace_a","","","","wood_weapon","","","","","","true","","2","Iron2"
"OSW","OSA_crafting_pieces.xml","AR_darshi_mace_head_c","{=osa_ar_darshi_mace_head_c}Decorated Steel Horse Mace Head","4","Blade","","AR_darshi_mace_head_c","1.08","20.8","","","3","Blunt","3.06","","","","","","","","","bo_mace_a","","","","wood_weapon","","","","","","true","","2","Iron2"
"OSW","OSA_crafting_pieces.xml","AR_darshi_mace_head_d","{=osa_ar_darshi_mace_head_d}Steel Round Mace Head","3","Blade","","AR_darshi_mace_head_d","1.08","20.8","","","3","Blunt","2.01","","","","","","","","","bo_mace_a","","","","wood_weapon","","","","","","true","","2","Iron2"
"OSW","OSA_crafting_pieces.xml","AR_khuzait_mace_head_a","{=osa_ar_khuzait_mace_head_a}Eastern Wooden Mace Head","1","Blade","","AR_khuzait_mace_head_a","1.08","20.8","","","3","Blunt","1.863","Pierce","1","","","","","","","bo_mace_a","","","","wood_weapon","","","","","","true","","2","Iron2"
"OSW","OSA_crafting_pieces.xml","AR_mace_head_a","{=osa_ar_mace_head_a}Heavy Iron Mallet Head","4","Blade","","AR_mace_head_a","0.92","14","","","3","Blunt","2.25","","","","","","","","","bo_mace_a","","","","wood_weapon","","","thrust","","","true","","3","Iron5"
"OSW","OSA_crafting_pieces.xml","AR_spear_blade_a","{=osa_ar_spear_blade_a}Spiculum Head","5","Blade","","AR_spear_blade_a","0.0744","23.7","","","2","","","Pierce","2.8","","","","","","","bo_spear_b","bo_throwing_spear_quiver_2","throwing_spear_quiver_2","96.8","wood_weapon","","","swing","NotStackable","ItemFlags","","","1","Iron3"
"OSW","OSA_crafting_pieces.xml","AR_spear_blade_b","{=osa_ar_spear_blade_b}Heavy Angon Head","5","Blade","","AR_spear_blade_b","0.0744","23.7","","","2","","","Pierce","2.8","","","","","","","bo_spear_b","bo_throwing_spear_quiver_5","throwing_spear_quiver_5","96.8","wood_weapon","","","swing","NotStackable","ItemFlags","","","1","Iron3"
"OSW","OSA_crafting_pieces.xml","AR_spear_blade_c","{=osa_ar_spear_blade_c}Light Angon Head","4","Blade","","AR_spear_blade_c","0.0744","23.7","","","2","","","Pierce","2.5","","","","","","","bo_spear_b","bo_throwing_spear_quiver_5","throwing_spear_quiver_5","96.8","wood_weapon","","","swing","NotStackable","ItemFlags","","","1","Iron3"
"OSW","OSA_crafting_pieces.xml","AR_spear_blade_d","{=osa_ar_spear_blade_d}Crude Wooden Spear Head","1","Blade","","AR_spear_blade_d","0.2136","22.862","","","4","","","Pierce","1.5","","","","","","","bo_spear_b","bo_throwing_spear_quiver_1_1","throwing_spear_quiver_1_1","68.9","wood_weapon","","","swing","","","","","1","Wood"
"OSW","OSA_crafting_pieces.xml","AR_spear_blade_e","{=osa_ar_spear_blade_e}Trident Head","3","Blade","","AR_spear_blade_e","0.352","42","","","3","","","Pierce","2.0","","","","","","","bo_spear_b","","","","wood_weapon","","","swing","","","","","2","Iron3"
"OSW","OSA_crafting_pieces.xml","AR_spear_handle_a","{=osa_ar_spear_handle_a}Tree Branch","1","Handle","","AR_spear_handle_a","1.2","190","","","","","","","","","","","90","","","","","","","","","","long","","","","0,0,0.10","1","Wood"
"OSW","OSA_crafting_pieces.xml","AR_spear_handle_b","{=osa_ar_spear_handle_b}Ornate Oaken Long Shaft","5","Handle","","AR_spear_handle_b","1.6","200","","","","","","","","","14","","","","","","","","","","","","long","","","","","4","Wood"
"OSW","OSA_crafting_pieces.xml","AR_spear_handle_c","{=osa_ar_spear_handle_c}Decorated Pine Pike Shaft","5","Handle","","spear_handle_8","0.9","230","","","","","","","","","22.9","","110","","","","","","","","","","","","","","","2","Wood"
"OSW","OSA_crafting_pieces.xml","AR_spear_pommel_a","{=osa_ar_spear_pommel_a}Spiked Steel Spear Pommel","5","Pommel","Culture.empire","AR_spear_pommel_a","0","14.8","","","","","","","","","","","","","","","","","","","","","","","","","","1","Iron5"
"OSW","OSA_crafting_pieces.xml","AR_spear_pommel_b","{=osa_ar_spear_pommel_b}Spiked Brass Spear Pommel","5","Pommel","Culture.empire","AR_spear_pommel_b","0","14.8","","","","","","","","","","","","","","","","","","","","","","","","","","1","Iron5"
"OSW","OSA_crafting_pieces.xml","AR_spear_pommel_c","{=osa_ar_spear_pommel_c}Large Bladed Spear Pommel","3","Pommel","Culture.empire","AR_spear_pommel_c","0","14.8","","","","","","","","","","","","","","","","","","","","","","","","","","1","Iron5"
"OSW","OSA_crafting_pieces.xml","AR_spear_guard_a","{=osa_ar_spear_guard_a}Brass Segmented Riveted Shaft Reinforcement","4","Guard","Culture.empire","AR_spear_guard_a","0","5.5","","","","","","","","","","","","","","","","","","","","","","","","","","1","Iron2"
"OSW","OSA_crafting_pieces.xml","AR_billhook_blade_a","{=osa_ar_billhook_blade_a}Crude Bill Head","2","Blade","","AR_billhook_blade_a","0.4296","35.5","","","3","Cut","1.6","","","","","","","","","bo_spear_b","","","","wood_weapon","","","shield:thrust","CanHook","","","","1","Iron2"
"OSW","OSA_crafting_pieces.xml","AR_SI_spear_handle_a","{=osa_ar_si_spear_handle_a}Mahogany One Handed Spear Shaft","4","Handle","","AR_SI_spear_handle_a","1.6","260","","","","","","","","","22.9","","","","","","","","","","","","","","","","","1","Wood"
"OSW","OSA_crafting_pieces.xml","AR_SI_spear_handle_b","{=osa_ar_si_spear_handle_b}Long One Handed Oak Shaft","2","Handle","","AR_SI_spear_handle_b","1.9","250","","","","","","","","","24.9","","120","","","","","","","","","","","","","","","1","Wood"
"OSW","OSA_crafting_pieces.xml","AR_SI_spear_handle_c","{=osa_ar_si_spear_handle_c}Pine One Handed Spear Staff","1","Handle","","spear_handle_1","1.2","149","","","","","","","","","14.9","","100","true","","","","","","","","","long","","","","","1","Wood"
"OSW","OSA_crafting_pieces.xml","AR_SI_spear_handle_d","{=osa_ar_si_spear_handle_d}Long One Handed Ash Shaft","2","Handle","","spear_handle_5","1.7","228","","","","","","","","","22.9","","110","","","","","","","","","","","","","","","1","Wood"
"OSW","OSA_crafting_pieces.xml","AR_SI_spear_handle_e","{=osa_ar_si_spear_handle_e}Decorated One Handed Pine Shaft","4","Handle","","spear_handle_16","1.6","180","","","","","","","","","22.9","","","","","","","","","","","","","","","","","1","Wood"
"OSW","OSA_crafting_pieces.xml","AR_SI_spear_handle_f","{=osa_ar_si_spear_handle_f}Oaken Long Spear Shaft","4","Handle","","spear_handle_20","1.5","220","","","","","","","","","22.9","","","","","","","","","","","","","","","","","1","Wood"
