"source_mod","source_file","id","name","crafting_template","culture","modifier_group","is_merchandise"
"OSW","OSA_ar_reforms_spears.xml","AR_imperial_spear_t2","{=osa_ar_imperial_spear_t2}Imperial Light Spear","TwoHandedPolearm","Culture.empire","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_imperial_spear_t3","{=osa_ar_imperial_spear_t3}Imperial Sturdy Spear","TwoHandedPolearm","Culture.empire","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_imperial_spear_t4","{=osa_ar_imperial_spear_t4}Imperial Fine Steel Spear","TwoHandedPolearm","Culture.empire","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_imperial_spear_2_t4","{=osa_ar_imperial_spear_2_t4}Imperial Thamaskene Steel Spear","TwoHandedPolearm","Culture.empire","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_sturgia_spear_t5","{=osa_ar_sturgia_spear_t5}Northern Thamaskene Steel Leaf Spear","TwoHandedPolearm","Culture.sturgia","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_western_spear_5_t4","{=osa_ar_western_spear_5_t4}Western Thamaskene Steel Spear","TwoHandedPolearm","Culture.vlandia","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_gladiator_fork_a","{=osa_ar_gladiator_fork_a}Gladiator Fork","TwoHandedPolearm","Culture.empire","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_gladiator_fork_b","{=osa_ar_gladiator_fork_b}Decorated Gladiator Fork","TwoHandedPolearm","Culture.empire","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_gladiator_fork_c","{=osa_ar_gladiator_fork_c}Gladiator Trident","TwoHandedPolearm","Culture.empire","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_gladiator_fork_d","{=osa_ar_gladiator_fork_d}Decorated Gladiator Trident","TwoHandedPolearm","Culture.empire","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_common_pike","{=osa_ar_common_pike}Common Pike","Pike","Culture.vlandia","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_empire_polearm_1_t3","{=osa_ar_empire_polearm_1_t3}Light Menavlion","Pike","Culture.empire","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_empire_polearm_2_t3","{=osa_ar_empire_polearm_2_t3}Light Vinavlon","Pike","Culture.empire","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_empire_polearm_3_t4","{=osa_ar_empire_polearm_3_t4}Vinavlon","Pike","Culture.empire","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_empire_polearm_4_t5","{=osa_ar_empire_polearm_4_t5}Heavy Vinavlon","Pike","Culture.empire","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_battania_polearm_2_t3","{=osa_ar_battania_polearm_2_t3}Rough Longspear","Pike","Culture.battania","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_battania_polearm_3_t4","{=osa_ar_battania_polearm_3_t4}Heavy Longspear","Pike","Culture.battania","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_battania_polearm_4_t5","{=osa_ar_battania_polearm_4_t5}Fine Steel Longspear","Pike","Culture.battania","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_crude_javelin","{=osa_ar_crude_javelin}Crude Javelins","Javelin","Culture.empire","spear_dart_throwing",""
"OSW","OSA_ar_reforms_spears.xml","AR_crude_javelin_1_t2","{=osa_ar_crude_javelin_1_t2}Crude Wooden Javelins","Javelin","Culture.empire","spear_dart_throwing",""
"OSW","OSA_ar_reforms_spears.xml","AR_crude_javelin_2_t2","{=osa_ar_crude_javelin_2_t2}Crude Javelins","Javelin","Culture.empire","spear_dart_throwing",""
"OSW","OSA_ar_reforms_spears.xml","AR_imperial_heavy_javelin_t2","{=osa_ar_imperial_heavy_javelin_t2}Light Lanceae","Javelin","Culture.empire","spear_dart_throwing",""
"OSW","OSA_ar_reforms_spears.xml","AR_imperial_heavy_javelin_t3","{=osa_ar_imperial_heavy_javelin_t3}Heavy Lanceae","Javelin","Culture.empire","spear_dart_throwing",""
"OSW","OSA_ar_reforms_spears.xml","AR_imperial_throwing_spear_t4","{=osa_ar_imperial_throwing_spear_t4}Spicula","Javelin","Culture.empire","spear_dart_throwing",""
"OSW","OSA_ar_reforms_spears.xml","AR_vlandian_throwing_spear_t4","{=osa_ar_vlandian_throwing_spear_t4}Angons","Javelin","Culture.vlandia","spear_dart_throwing",""
"OSW","OSA_ar_reforms_spears.xml","AR_vlandian_throwing_spear_2_t4","{=osa_ar_vlandian_throwing_spear_2_t4}Heavy Angons","Javelin","Culture.vlandia","spear_dart_throwing",""
"OSW","OSA_ar_reforms_weapons.xml","AR_seax_a","{=osa_ar_seax_a}Throwing Seax","ThrowingKnife","Culture.sturgia","knife_throwing",""
"OSW","OSA_ar_reforms_weapons.xml","AR_aserai_axe_1_t3","{=osa_ar_aserai_axe_1_t3}Bamboo Handled Single Bit Axe","OneHandedAxe","Culture.aserai","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_axe_t2","{=osa_ar_darshi_axe_t2}Small Darshi Hatchet","OneHandedAxe","Culture.aserai","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_axe_t3","{=osa_ar_darshi_axe_t3}Darshi Axe","OneHandedAxe","Culture.aserai","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_axe_t4","{=osa_ar_darshi_axe_t4}Long Darshi Axe","OneHandedAxe","Culture.aserai","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_axe_t5","{=osa_ar_darshi_axe_t5}Heavy Darshi Double Bit Axe","OneHandedAxe","Culture.aserai","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_imperial_axe_t2","{=osa_ar_imperial_axe_t2}Small Tzikourion","OneHandedAxe","Culture.empire","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_imperial_axe_t4","{=osa_ar_imperial_axe_t4}Long Tzikourion","OneHandedAxe","Culture.empire","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_imperial_axe_t5","{=osa_ar_imperial_axe_t5}Heavy Tzikourion","OneHandedAxe","Culture.empire","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_small_bardiche_t3","{=osa_ar_small_bardiche_t3}Crude Small Bardiche","OneHandedAxe","Culture.empire","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_small_bardiche_t4","{=osa_ar_small_bardiche_t4}Small Bardiche","OneHandedAxe","Culture.empire","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_small_bardiche_t5","{=osa_ar_small_bardiche_t5}Fine Steel Small Bardiche","OneHandedAxe","Culture.empire","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_iltanlar_axe_t2","{=osa_ar_iltanlar_axe_t2}Steppe Small Axe","OneHandedAxe","Culture.khuzait","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_iltanlar_axe_t3","{=osa_ar_iltanlar_axe_t3}Steppe Long Axe","OneHandedAxe","Culture.khuzait","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_iltanlar_axe_t4","{=osa_ar_iltanlar_axe_t4}Steppe Heavy Axe","OneHandedAxe","Culture.khuzait","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_iltanlar_axe_t5","{=osa_ar_iltanlar_axe_t5}Steppe Noble Axe","OneHandedAxe","Culture.khuzait","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_vlandia_axe_5_t5","{=osa_ar_vlandia_axe_5_t5}Western Noble Battle Axe","OneHandedAxe","Culture.vlandia","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_battania_2haxe_3_t4","{=osa_ar_battania_2haxe_3_t4}Heavy Square Bit Two Handed Axe","TwoHandedAxe","Culture.battania","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_battania_2haxe_4_t5","{=osa_ar_battania_2haxe_4_t5}Fine Steel Square Bit Two Handed Axe","TwoHandedAxe","Culture.battania","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_vlandia_2haxe_3_t3","{=osa_ar_vlandia_2haxe_3_t3}Light Hooked Cavalry Axe","TwoHandedAxe","Culture.vlandia","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_vlandia_2haxe_4_t5","{=osa_ar_vlandia_2haxe_4_t5}Fine Steel Hooked Cavalry Axe","TwoHandedAxe","Culture.vlandia","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_vlandia_2haxe_2_t5","{=osa_ar_vlandia_2haxe_2_t5}Fine Steel Short Bill","TwoHandedAxe","Culture.vlandia","axe",""
"OSW","OSA_ar_reforms_weapons.xml","AR_aserai_noble_sword_5_t5","{=osa_ar_aserai_noble_sword_5_t5}Engraved Scimitar","OneHandedSword","Culture.aserai","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_aserai_royal_sword_1_t5","{=osa_ar_aserai_royal_sword_1_t5}Emir's Engraved Kaskara","OneHandedSword","Culture.aserai","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_aserai_royal_sword_2_t5","{=osa_ar_aserai_royal_sword_2_t5}Shah's Engraved Broadsword","OneHandedSword","Culture.aserai","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_battania_sword_1_t2","{=osa_ar_battania_sword_1_t2}Crude Iron Broadsword","OneHandedSword","Culture.battania","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_battania_sword_4_t4","{=osa_ar_battania_sword_4_t4}Fine Steel Highland Sword","OneHandedSword","Culture.battania","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_sword_1_t2","{=osa_ar_darshi_sword_1_t2}Iron Shamshir","OneHandedSword","Culture.aserai","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_sword_2_t3","{=osa_ar_darshi_sword_2_t3}Shamshir","OneHandedSword","Culture.aserai","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_sword_3_t3","{=osa_ar_darshi_sword_3_t3}Wide Shamshir","OneHandedSword","Culture.aserai","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_sword_4_t4","{=osa_ar_darshi_sword_4_t4}Fine Steel Shamshir","OneHandedSword","Culture.aserai","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_sword_5_t4","{=osa_ar_darshi_sword_5_t4}Fine Steel Wide Shamshir","OneHandedSword","Culture.aserai","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_sword_6_t5","{=osa_ar_darshi_sword_6_t5}Thamaskene Steel Shamshir","OneHandedSword","Culture.aserai","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_noble_sword_1_t5","{=osa_ar_darshi_noble_sword_1_t5}Decorated Long Shamshir","OneHandedSword","Culture.aserai","sword","false"
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_noble_sword_2_t5","{=osa_ar_darshi_noble_sword_2_t5}Gilded Noble Shamshir","OneHandedSword","Culture.aserai","sword","false"
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_noble_sword_3_t5","{=osa_ar_darshi_noble_sword_3_t5}Spahbed's Thamaskene Steel Shamshir","OneHandedSword","Culture.aserai","sword","false"
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_noble_sword_4_t5","{=osa_ar_darshi_noble_sword_4_t5}Immortal Thamaskene Steel Shamshir","OneHandedSword","Culture.aserai","sword","false"
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_royal_sword_1_t6","{=osa_ar_darshi_royal_sword_1_t6}Shah's Thamaskene Steel Shamshir","OneHandedSword","Culture.aserai","sword","false"
"OSW","OSA_ar_reforms_weapons.xml","AR_empire_sword_5_t4","{=osa_ar_empire_sword_5_t4}Balanced Spatha","OneHandedSword","Culture.empire","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_empire_sword_5_t3","{=osa_ar_empire_sword_5_t5}Steel Paramerion","OneHandedSword","Culture.empire","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_empire_sword_5_t5","{=osa_ar_empire_sword_5_t5}Thamaskene Steel Paramerion","OneHandedSword","Culture.empire","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_empire_noble_sword_4_t5","{=osa_ar_empire_noble_sword_4_t5}Decorated Paramerion","OneHandedSword","Culture.empire","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_empire_noble_sword_5_t5","{=osa_ar_empire_noble_sword_5_t5}Tetrarch's Thamaskene Steel Spatha","OneHandedSword","Culture.empire","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_empire_noble_sword_6_t5","{=osa_ar_empire_noble_sword_6_t5}Decorated Thamaskene Steel Spatha","OneHandedSword","Culture.empire","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_empire_royal_sword_1_t6","{=osa_ar_empire_royal_sword_1_t6}Imperial Thamaskene Steel Spatha","OneHandedSword","Culture.empire","sword","false"
"OSW","OSA_ar_reforms_weapons.xml","AR_khuzait_noble_sword_4_t5","{=osa_ar_khuzait_noble_sword_4_t5}Gilded Thamaskene Steel Saber","OneHandedSword","Culture.khuzait","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_khuzait_noble_sword_5_t5","{=osa_ar_khuzait_noble_sword_5_t5}Decorated Ild","OneHandedSword","Culture.khuzait","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_shotel_t2","{=osa_ar_shotel_t2}Iron Shotel","OneHandedSword","Culture.aserai","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_shotel_t3","{=osa_ar_shotel_t3}Ridged Shotel","OneHandedSword","Culture.aserai","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_shotel_t4","{=osa_ar_shotel_t4}Fine Steel Shotel","OneHandedSword","Culture.aserai","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_sickle_t3","{=osa_ar_sickle_t3}Iron Druidic Sickle","OneHandedSword","Culture.battania","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_sickle_t4","{=osa_ar_sickle_t4}Steel Druidic Sickle","OneHandedSword","Culture.battania","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_vlandia_noble_sword_5_t5","{=osa_ar_vlandia_noble_sword_5_t5}Thamaskene Steel Arming Sword","OneHandedSword","Culture.vlandia","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_battania_2hsword_4_t4","{=osa_ar_battania_2hsword_4_t4}Short Falx","TwoHandedSword","Culture.battania","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_battania_2hsword_5_t5","{=osa_ar_battania_2hsword_5_t5}Thamaskene Steel Falx","TwoHandedSword","Culture.battania","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_battania_2hsword_6_t5","{=osa_ar_battania_2hsword_6_t5}High King's Thamaskene Steel Broadsword","TwoHandedSword","Culture.battania","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_war_razor_2hsword_t3","{=osa_ar_war_razor_2hsword_t3}Short War Razor","TwoHandedSword","","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_war_razor_2hsword_t5","{=osa_ar_war_razor_2hsword_t5}Fine Steel War Razor","TwoHandedSword","","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_pugio_a","{=osa_ar_pugio_a}Decorated Pugio","Dagger","Culture.empire","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_seax_b","{=osa_ar_seax_b}Decorated Seax","Dagger","Culture.sturgia","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_seax_c","{=osa_ar_seax_c}Decorated Seax","Dagger","Culture.vlandia","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_khanjar_a","{=osa_ar_khanjar_a}Decorated Khanjar","Dagger","Culture.aserai","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_kituga_a","{=osa_ar_kituga_a}Decorated Kituga","Dagger","Culture.khuzait","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_skaen_a","{=osa_ar_skaen_a}Decorated Skaen","Dagger","Culture.battania","sword",""
"OSW","OSA_ar_reforms_weapons.xml","AR_empire_mace_1_t2","{=osa_ar_empire_mace_1_t2}Imperial Light Spiked Mace","Mace","Culture.empire","mace",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_mace_1_t2","{=osa_ar_darshi_mace_1_t2}Darshi Light Mace","Mace","Culture.aserai","mace",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_mace_3_t3","{=osa_ar_darshi_mace_3_t3}Darshi Rounded Mace","Mace","Culture.aserai","mace",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_mace_4_t4","{=osa_ar_darshi_mace_4_t4}Darshi Long Floral Mace","Mace","Culture.aserai","mace",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_mace_5_t4","{=osa_ar_darshi_mace_5_t4}Darshi Heavy Floral Mace","Mace","Culture.aserai","mace",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_mace_5_t5","{=osa_ar_darshi_mace_5_t5}Darshi Noble Floral Mace","Mace","Culture.aserai","mace",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_mace_6_t5","{=osa_ar_darshi_mace_6_t5}Darshi Noble Cavalry Mace","Mace","Culture.aserai","mace",""
"OSW","OSA_ar_reforms_weapons.xml","AR_khuzait_mace_2_t3","{=osa_ar_khuzait_mace_2_t3}Steppe Weighted Mace","Mace","Culture.khuzait","mace",""
"OSW","OSA_ar_reforms_weapons.xml","AR_battania_mace_3_t4","{=osa_ar_battania_mace_3_t4}Highland Heavy Mace","Mace","Culture.battania","mace",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_2h_mace_t4","{=osa_ar_darshi_2h_mace_t4}Darshi Two Handed Mace","TwoHandedMace","Culture.aserai","mace",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_2h_mace_t5","{=osa_ar_darshi_2h_mace_t5}Darshi Noble Two Handed Mace","TwoHandedMace","Culture.aserai","mace",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_noble_2h_mace_t4","{=osa_ar_darshi_noble_2h_mace_t4}Darshi Floral Two Handed Mace","TwoHandedMace","Culture.aserai","mace",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_noble_2h_mace_t5","{=osa_ar_darshi_noble_2h_mace_t5}Darshi Noble Floral Two Handed Mace","TwoHandedMace","Culture.aserai","mace",""
"OSW","OSA_ar_reforms_weapons.xml","AR_darshi_royal_2h_mace_t5","{=osa_ar_darshi_royal_2h_mace_t5}Darshi Noble Cavalry Two Handed Mace","TwoHandedMace","Culture.aserai","mace",""
"OSW","OSA_ar_reforms_weapons.xml","AR_peasant_maul_t1_1","{=osa_ar_peasant_maul_t1_1}Iron Sledgehammer","TwoHandedMace","Culture.battania","cheap_weapon",""
"OSW","OSA_ar_reforms_weapons.xml","AR_northern_2h_mace_t4","{=osa_ar_northern_2h_mace_t4}Northern Two Handed Mace","TwoHandedMace","Culture.sturgia","mace",""
"OSW","OSA_ar_reforms_weapons.xml","AR_northern_2h_mace_t5","{=osa_ar_northern_2h_mace_t5}Northern Heavy Two Handed Mace","TwoHandedMace","Culture.sturgia","mace",""
"OSW","OSA_ar_reforms_weapons.xml","AR_crude_2h_mace_t2","{=osa_ar_crude_2h_mace_t2}Crude Spiked Two Handed Club","TwoHandedMace","Culture.empire","mace",""
"OSW","OSA_ar_reforms_weapons.xml","AR_crude_2h_mace_t3","{=osa_ar_crude_2h_mace_t3}Spiked Two Handed Club","TwoHandedMace","Culture.empire","mace",""
